Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"5/26/2020","2020-05-26T15:41:47.000Z","","Running","5.54 Km","32m 07s","14 m","36 m","425 KCal","Very Good ","","10.34 km/h","05:48 min/km","","153 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8EuraasPhELLEX3FaALMdWRsd2zfkc"
"5/28/2020","2020-05-28T07:51:57.000Z","","Running","12.40 Km","01h 04m 48s","21 m","21 m","1017 KCal","Very Good ","","11.48 km/h","05:13 min/km","","171 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8F34M8SSwFZgaRfAVNGx2urVra87h7"
"5/29/2020","2020-05-29T08:38:11.000Z","","Running","6.65 Km","36m 06s","21 m","21 m","559 KCal","","","11.05 km/h","05:25 min/km","","167 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TU6KkjmWv6LLzeKUksrfK1UjhSueR"
"5/30/2020","2020-05-30T10:02:27.000Z","","Running","5.16 Km","27m 52s","14 m","28 m","434 KCal","","","11.10 km/h","05:24 min/km","","168 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TaYTtXBier8zkzqp5KaYCz9uvan2n"
"5/31/2020","2020-05-31T08:23:29.000Z","","Running","11.95 Km","01h 06m 10s","14 m","56 m","995 KCal","Good ","","10.84 km/h","05:32 min/km","","170 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TeAZ8RDCXkaWM7xK64hL8pckY8ftg"
"6/2/2020","2020-06-02T07:11:06.000Z","","Running","12.35 Km","01h 05m 14s","21 m","42 m","916 KCal","Very Good ","","11.35 km/h","05:17 min/km","","163 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Tpo553kgP8pPN4E1bMgx4ixPnCcb9"
"6/3/2020","2020-06-03T11:55:51.000Z","","Running","8.12 Km","41m 54s","14 m","7 m","625 KCal","Very Good ","","11.62 km/h","05:09 min/km","","165 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TtTj7S915HZxHQyfqZzWudgGzg7W3"
"6/4/2020","2020-06-04T09:35:10.000Z","","Running","6.02 Km","31m 01s","7 m","21 m","434 KCal","Very Good ","","11.64 km/h","05:09 min/km","","158 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8TxcPm7vy3u8AYPRBAQQGFn11rm18j"
"6/5/2020","2020-06-05T09:05:21.000Z","","Running","13.74 Km","01h 18m 52s","42 m","21 m","988 KCal","Very Good ","","10.45 km/h","05:44 min/km","","156 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8WU9JEqPJBTk6ygwR7ts9yXFrajNay"
"6/6/2020","2020-06-06T09:42:17.000Z","","Running","10.18 Km","54m 33s","21 m","14 m","682 KCal","Excellent ","","11.20 km/h","05:21 min/km","","154 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8WXnqdAcQiAvf9qQx2vDjE2UQ7Luqz"
"6/7/2020","2020-06-07T08:16:06.000Z","","Cycling","10.59 Km","35m 29s","43 m","57 m","323 KCal","Very Good ","","17.90 km/h","","","128 bpm","","","","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8WbwnP2iiTxFkQ5knSFs1pWELez5Jd"
"6/7/2020","2020-06-07T08:58:44.000Z","","Running","25.04 Km","02h 35m 04s","247 m","240 m","2270 KCal","Very Good ","","9.69 km/h","06:11 min/km","","166 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Wbz4hu3SEmELgEbohPMir4qAPdp7T"
"6/9/2020","2020-06-09T08:17:24.000Z","","Running","5.24 Km","29m 07s","21 m","0 m","347 KCal","Excellent ","","10.80 km/h","05:33 min/km","","146 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8Wn5tK7mdtqd9ccRxfmxNpEhb6hgxc"
"6/10/2020","2020-06-10T05:59:17.000Z","","Running","6.85 Km","38m 56s","7 m","28 m","426 KCal","Very Good ","","10.56 km/h","05:41 min/km","","141 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jCWJiLVk3vykm3oj9nhhtCBPvaHHZ"
"6/12/2020","2020-06-12T11:58:58.000Z","","Running","5.86 Km","31m 30s","7 m","0 m","451 KCal","Very Good ","","11.15 km/h","05:22 min/km","","161 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jPC68vevD7EX2ZjVf1KEmXqoe7b89"
"6/13/2020","2020-06-13T08:18:34.000Z","","Running","12.66 Km","01h 11m 12s","57 m","57 m","964 KCal","Very Good ","","10.66 km/h","05:37 min/km","","159 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jTLtFinKMh6FKo5r9eVk2eoCf4btk"
"6/14/2020","2020-06-14T09:18:22.000Z","","Running","5.63 Km","34m 32s","28 m","21 m","534 KCal","Poor ","","9.77 km/h","06:08 min/km","","161 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jWyvbfw8vW6MJNEueYEi6txLCmTzb"
"6/15/2020","2020-06-15T13:14:09.000Z","","Running","5.08 Km","22m 42s","0 m","0 m","425 KCal","Average ","","13.41 km/h","04:28 min/km","","185 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jdTXgPM579qcvWMzDCQGfToinvdEk"
"6/16/2020","2020-06-16T07:32:02.000Z","","Running","12.58 Km","01h 09m 00s","21 m","64 m","1063 KCal","Very Good ","","10.94 km/h","05:29 min/km","","170 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o8jh3C4y6vCaprtnHyXBRZQPaLqBp1N"
